%%%%%%%%%%%%%%%%%%%%%%%%%%
% Format for label file
% In comment lines, specify
% (1) discretization vector and  (2) # of signatures
%%%%%%%%%%%%%%%%%%%%%%%%%%

%note that instead of using nominal represetation for the label
%I choose to preserve the original real value which is the quantity
%label in a particular solution cell
@relation label

@attribute specID real
@attribute sigValue1 real
@attribute sigValue2 real
@attribute sigValue3 real
@attribute sigValue4 real
@attribute sigValue5 real
@attribute sigValue6 real
@attribute sigValue7 real
@attribute sigValue8 real
@attribute sigValue9 real
@attribute sigValue10 real
@attribute sigValue11 real
@attribute sigValue12 real
@attribute sigValue13 real
@attribute sigValue14 real
@attribute sigValue15 real
@attribute sigValue16 real
@attribute sigValue17 real
@attribute sigValue18 real
@attribute sigValue19 real
@attribute sigValue20 real
@attribute sigValue21 real
@attribute sigValue22 real
@attribute sigValue23 real
@attribute sigValue24 real
@attribute sigValue25 real
@attribute sigValue26 real
@attribute sigValue27 real
@attribute sigValue28 real
@attribute sigValue29 real
@attribute sigValue30 real
@attribute sigValue31 real
@attribute sigValue32 real
@attribute sigValue33 real
@attribute sigValue34 real
@attribute sigValue35 real
@attribute sigValue36 real
@attribute sigValue37 real
@attribute sigValue38 real
@attribute sigValue39 real
@attribute sigValue40 real
@attribute sigValue41 real
@attribute sigValue42 real
@attribute sigValue43 real
@attribute sigValue44 real
@attribute sigValue45 real
@attribute sigValue46 real
@attribute sigValue47 real
@attribute sigValue48 real
@attribute sigValue49 real
@attribute sigValue50 real
@attribute sigValue51 real
@attribute sigValue52 real
@attribute sigValue53 real
@attribute sigValue54 real
@attribute sigValue55 real
@attribute sigValue56 real
@attribute sigValue57 real
@attribute sigValue58 real
@attribute sigValue59 real
@attribute sigValue60 real
@attribute sigValue61 real
@attribute sigValue62 real
@attribute sigValue63 real
@attribute sigValue64 real
@attribute sigValue65 real
@attribute sigValue66 real
@attribute sigValue67 real
@attribute sigValue68 real
@attribute sigValue69 real
@attribute sigValue70 real
@attribute sigValue71 real
@attribute sigValue72 real
@attribute sigValue73 real
@attribute sigValue74 real
@attribute sigValue75 real
@attribute sigValue76 real
@attribute sigValue77 real
@attribute sigValue78 real
@attribute sigValue79 real
@attribute sigValue80 real
@attribute sigValue81 real
@attribute sigValue82 real
@attribute sigValue83 real
@attribute sigValue84 real
@attribute sigValue85 real
@attribute sigValue86 real
@attribute sigValue87 real
@attribute sigValue88 real
@attribute sigValue89 real
@attribute sigValue90 real
@attribute sigValue91 real
@attribute sigValue92 real
@attribute sigValue93 real
@attribute sigValue94 real
@attribute sigValue95 real
@attribute sigValue96 real
@attribute sigValue97 real
@attribute sigValue98 real
@attribute sigValue99 real
@attribute sigValue100 real
@attribute sigValue101 real
@attribute sigValue102 real
@attribute sigValue103 real
@attribute sigValue104 real
@attribute sigValue105 real
@attribute sigValue106 real
@attribute sigValue107 real
@attribute sigValue108 real
@attribute sigValue109 real
@attribute sigValue110 real
@attribute sigValue111 real
@attribute sigValue112 real
@attribute sigValue113 real
@attribute sigValue114 real
@attribute sigValue115 real
@attribute sigValue116 real
@attribute sigValue117 real
@attribute sigValue118 real
@attribute sigValue119 real
@attribute sigValue120 real
@attribute sigValue121 real
@attribute sigValue122 real
@attribute sigValue123 real
@attribute sigValue124 real
@attribute sigValue125 real
@attribute sigValue126 real
@attribute sigValue127 real
@attribute sigValue128 real
@attribute sigValue129 real
@attribute sigValue130 real
@attribute sigValue131 real
@attribute sigValue132 real
@attribute sigValue133 real
@attribute sigValue134 real
@attribute sigValue135 real
@attribute sigValue136 real
@attribute sigValue137 real
@attribute sigValue138 real
@attribute sigValue139 real
@attribute sigValue140 real
@attribute sigValue141 real
@attribute sigValue142 real
@attribute sigValue143 real
@attribute sigValue144 real
@attribute sigValue145 real
@attribute sigValue146 real
@attribute sigValue147 real
@attribute sigValue148 real
@attribute sigValue149 real
@attribute sigValue150 real
@attribute sigValue151 real
@attribute sigValue152 real
@attribute sigValue153 real
@attribute sigValue154 real
@attribute sigValue155 real
@attribute sigValue156 real
@attribute sigValue157 real
@attribute sigValue158 real
@attribute sigValue159 real
@attribute sigValue160 real
@attribute sigValue161 real
@attribute sigValue162 real
@attribute sigValue163 real
@attribute sigValue164 real
@attribute sigValue165 real
@attribute sigValue166 real
@attribute sigValue167 real
@attribute sigValue168 real
@attribute sigValue169 real
@attribute sigValue170 real
@attribute sigValue171 real
@attribute sigValue172 real
@attribute sigValue173 real
@attribute sigValue174 real
@attribute sigValue175 real
@attribute sigValue176 real
@attribute sigValue177 real
@attribute sigValue178 real
@attribute sigValue179 real
@attribute sigValue180 real
@attribute sigValue181 real
@attribute sigValue182 real
@attribute sigValue183 real
@attribute sigValue184 real
@attribute sigValue185 real
@attribute sigValue186 real
@attribute sigValue187 real
@attribute sigValue188 real
@attribute sigValue189 real
@attribute sigValue190 real
@attribute sigValue191 real
@attribute sigValue192 real
@attribute sigValue193 real
@attribute sigValue194 real
@attribute sigValue195 real
@attribute sigValue196 real
@attribute sigValue197 real


@data
9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
